id_cliente;nombre;apellido;edad;direccion;residencia;origen;id_vendedor;nombre_ven;apellido_ven;tipo_capacitaciÛn;dia;mes;aÒo;id_venta;id_producto;codigo_producto;nombre_producto;categoria;cantidad_maxima;cantidad_minima;precio
20304;Amaya;Cohen;20;4886 Tortor, Rd.;Belize;Zittau;79663;Rahim;Shepherd;5;lunes;agosto;2019;95819;1;Q5I 3T4;Flovent HFA;2;839;28;s/0.31
3648;Darrel;Ortiz;80;8287 Aenean Avenue;Martinique;San Leucio del Sannio;20947;Petra;Dean;5;jueves;septiembre;2019;4914;2;W7I 3A3;Lorazepam;5;991;20;s/0.75
90277;Martin;Rodriguez;58;Ap #129-6152 Pellentesque Rd.;France;Saint-Marc;40388;Guinevere;Morrison;5;domingo;octubre;2019;79605;3;L5A 9T8;Gabapentin;9;191;4;s/0.24
50403;Anthony;Sampson;32;3070 Odio St.;Israel;Bloomington;20297;Xaviera;Waters;5;lunes;octubre;2019;40337;4;T8Q 8L1;Clonazepam;2;653;27;s/0.75
71745;Dominique;Anthony;43;P.O. Box 596, 2001 Est, St.;Belgium;Altavilla Irpina;19988;Desirae;Chang;5;lunes;agosto;2019;85919;5;B2G 6M3;Bystolic;2;920;9;s/0.75
15716;Gareth;Quinn;74;P.O. Box 108, 8476 Mauris Rd.;Ukraine;Macon;58610;Hall;Conway;5;martes;septiembre;2019;34147;6;B6N 0H7;Venlafaxine HCl ER;2;105;17;s/0.80
45923;Nathaniel;Phelps;65;558-6507 Metus. Avenue;Faroe Islands;Villarrica;36757;Cheryl;Peters;5;miercoles;agosto;2019;38342;7;T2N 2L5;Hydrochlorothiazide;9;485;8;s/0.41
17079;Doris;Schwartz;73;6017 Ipsum Rd.;New Zealand;Otranto;50774;Axel;Webster;5;domingo;octubre;2019;79091;8;F7Y 2S1;Fluoxetine HCl;1;554;24;s/0.19
98836;Azalia;Carrillo;55;P.O. Box 891, 4664 A Avenue;Vanuatu;Dongelberg;64600;Fredericka;Camacho;5;viernes;octubre;2019;26634;9;Y0O 9F6;Fluoxetine HCl;7;392;10;s/0.67
5688;Akeem;Gardner;74;Ap #997-4866 Mauris St.;Kazakhstan;Siegendorf;58470;Orli;Weiss;5;viernes;septiembre;2019;41390;10;M1G 7H9;Lyrica;10;824;17;s/1.00
34315;Imelda;Kramer;24;Ap #834-5325 Orci Road;Libya;Lower Hutt;18267;Shannon;Schmidt;5;sabado ;agosto;2019;40444;11;Y6S 9O1;Metformin HCl;8;878;24;s/0.21
69650;Quincy;Randall;33;789-7944 Enim. Rd.;Cambodia;Polatl?;7711;Jolene;Cox;5;lunes;agosto;2019;36201;12;H4K 4S2;Lisinopril;8;999;18;s/0.43
96398;Dorothy;Garner;18;P.O. Box 496, 1777 Facilisis Street;Jamaica;Southend;86729;Felix;England;5;lunes;septiembre;2019;12877;13;K8O 8O3;Plavix;9;928;11;s/0.66
11715;Jana;Calhoun;49;P.O. Box 229, 8524 Et St.;Indonesia;Miramichi;39991;Carlos;Hardy;5;miercoles;septiembre;2019;90107;14;Q5J 8U8;Prednisone;5;159;22;s/0.77
62650;Brendan;Rosario;62;224-9177 Nullam Rd.;Nepal;Cheyenne;67847;Conan;Delacruz;5;jueves;octubre;2019;93474;15;K1I 8O5;Hydrocodone/APAP;3;381;27;s/0.47
28335;Felicia;Guerra;28;340 Vitae St.;Philippines;Merksplas;37838;Kuame;Bray;5;viernes;octubre;2019;55438;16;Y3O 0A5;Omeprazole (Rx);9;126;29;s/0.84
35062;Jelani;Hester;42;Ap #624-319 Nec, Road;Guernsey;Pickering;74487;Vielka;Nunez;5;sabado ;octubre;2019;81634;17;C5L 9F1;Lipitor;4;675;2;s/0.68
32485;Holly;Lamb;32;Ap #521-3521 Dictum. Avenue;Mayotte;Chetwynd;50947;Violet;Jacobson;5;sabado ;octubre;2019;69721;18;H5Z 0C3;Sulfamethoxazole/Trimethoprim;5;642;30;s/0.52
3750;Kane;Garcia;43;P.O. Box 540, 8144 Faucibus. Ave;Turkmenistan;Rhayader;81210;Jared;Compton;5;domingo;octubre;2019;54693;19;U6K 7M1;Lisinopril;8;520;17;s/0.17
66848;Bethany;Dodson;79;P.O. Box 627, 4250 Sem Street;Malta;Invergordon;17840;Sydnee;Britt;5;lunes;septiembre;2019;98359;20;C3Z 2A7;Simvastatin;7;731;27;s/0.40
1340;Yeo;Summers;21;P.O. Box 598, 924 Molestie Av.;Tokelau;Chilliwack;68472;Yetta;Trujillo;5;martes;septiembre;2019;49253;21;W4X 0H1;Alprazolam;9;980;23;s/0.87
61053;Reuben;Perkins;42;P.O. Box 412, 385 Sit Rd.;Moldova;Zamo??;59999;Brett;Hewitt;5;miercoles;septiembre;2019;71975;22;F0X 9B4;Methylprednisolone;10;304;26;s/0.34
16112;Kenyon;Frye;79;P.O. Box 901, 2859 Phasellus St.;Canada;Gebze;27850;Bertha;Brewer;5;martes;agosto;2019;44769;23;V3T 2S1;Amoxicillin Trihydrate/Potassium Clavulanate;3;494;19;s/0.64
10149;Steel;Jefferson;76;P.O. Box 518, 9662 Imperdiet Avenue;Martinique;Wolvertem;25831;Trevor;Stein;5;lunes;agosto;2019;27484;24;X8Z 2H0;Oxycodone/APAP;2;690;8;s/0.52
2804;Venus;Walton;27;Ap #912-2559 Vulputate Road;United Kingdom (Great Britain);Harrogate;68357;Hayden;Gallagher;5;sabado ;octubre;2019;28164;25;I0P 1G8;Naproxen;10;502;15;s/0.64
76454;Tanek;Chandler;57;969-9902 Purus, St.;Central African Republic;Multan;8364;Calista;Hogan;5;domingo;agosto;2019;77737;26;T2Q 2Z2;Hydrochlorothiazide;1;735;29;s/0.94
76018;Clio;Donaldson;77;Ap #548-4779 Cum St.;Palestine, State of;Ribeir„o Preto;97430;Willa;Small;5;lunes;septiembre;2019;41010;27;D0Z 1P8;Clindamycin HCl;8;806;17;s/0.31
32941;Jeanette;Robertson;31;116-2466 Eu St.;Netherlands;Moerkerke;37496;Haley;Maxwell;5;martes;septiembre;2019;48419;28;Y0W 8L4;Ibuprofen (Rx);7;519;24;s/0.70
75418;Roanna;Gutierrez;58;P.O. Box 991, 7871 Nunc Avenue;Sint Maarten;Mandi Burewala;98875;Mariam;Roberts;5;jueves;agosto;2019;24144;29;H6T 7E2;Furosemide;2;393;12;s/0.48
46478;Hanae;Delacruz;23;Ap #392-729 Nascetur Avenue;Mauritius;Vallentuna;90505;Garrison;Vega;5;jueves;agosto;2019;73904;30;E9K 6V2;Vitamin D (Rx);5;339;9;s/0.77
13971;Cullen;Merrill;19;766-4041 Non, Rd.;Swaziland;Andenne;91898;Ciara;Franco;5;viernes;septiembre;2019;91489;31;G4V 2Q0;Diazepam;2;439;29;s/0.77
53520;Alec;Fuentes;57;749-9474 Faucibus Street;≈land Islands;Termes;79233;Delilah;Johns;5;lunes;octubre;2019;99232;32;N2D 1U9;Cephalexin;10;615;16;s/0.57
195;Dara;Hardin;35;5455 Ut Avenue;Afghanistan;Tongerlo;69222;Carissa;Meyers;5;lunes;octubre;2019;31370;33;I0B 6G8;Hydrocodone;4;413;4;s/0.85
95154;Dai;Hart;18;544-7999 Mauris, St.;Dominica;Zaragoza;41738;Honorato;Hobbs;5;sabado ;octubre;2019;67340;34;E2S 9B7;Amoxicillin;3;141;29;s/0.17
39021;Freya;Dixon;18;P.O. Box 309, 6795 Felis St.;Jordan;Zwijnaarde;39749;Denton;Schwartz;5;martes;septiembre;2019;32456;35;Q5B 1K5;Lorazepam;5;479;18;s/0.44
58504;Hiram;Holcomb;75;Ap #202-8765 Massa. Avenue;Kyrgyzstan;Strée;91101;Raymond;Richardson;5;martes;octubre;2019;75991;36;N9F 0R4;Lisinopril;1;841;7;s/0.64
24746;Philip;Peters;46;Ap #950-1323 Vivamus Ave;Israel;Bastia;86499;Judah;Armstrong;5;domingo;septiembre;2019;66882;37;B5X 9S0;Amoxicillin 500g;4;984;14;s/0.63
28152;Cody;Copeland;19;335-9064 Non Av.;Honduras;Huntsville;5098;Cameron;Nolan;5;lunes;septiembre;2019;28002;38;L7W 7K9;Albuterol;1;266;9;s/0.17
83352;Brooke;Hunt;59;749-7676 At Road;Korea, South;Braunau am Inn;75641;Phoebe;Weeks;5;lunes;agosto;2019;25480;39;E6R 6C4;Hydrocodone Liquid;2;622;2;s/0.51
49163;Plato;Dominguez;64;9863 Laoreet St.;Eritrea;Freire;88447;Justine;Morris;5;jueves;agosto;2019;22298;40;V8H 2J9;Omeprazole (Rx);4;162;4;s/0.56
82108;Dahlia;Buckley;78;3706 Luctus Rd.;Cuba;Lexington;30299;Iola;Benjamin;5;domingo;septiembre;2019;21917;41;D1X 5J6;Azithromycin;8;269;5;s/0.49
86861;Macaulay;Hatfield;62;461 Duis Rd.;Tunisia;Geest-Gérompont-Petit-Rosiére;33409;Benedict;Finch;5;lunes;septiembre;2019;51324;42;B6G 1Y8;Ibuprofen (Rx);2;593;10;s/0.80
4317;Hedley;Little;31;P.O. Box 535, 3339 Curabitur Av.;Holy See (Vatican City State);Mundare;61121;Keane;Knowles;5;lunes;agosto;2019;9789;43;X9X 1M1;Cephalexin;8;717;28;s/0.13
11397;Teagan;Potter;26;Ap #598-439 Mi Avenue;Palau;Gravilias;57882;Sacha;Mcgowan;5;martes;septiembre;2019;50948;44;V2R 5Z0;Gianvi;7;814;4;s/0.74
42534;Cedric;Hebert;64;3078 Nisi Ave;Malaysia;Loughborough;45863;Ila;Schmidt;5;miercoles;agosto;2019;12976;45;A9G 1C1;Lorazepam;8;569;2;s/0.18
15383;Madeline;Murphy;43;P.O. Box 261, 7480 Convallis Ave;Northern Mariana Islands;Sasaram;93178;Rogan;Orr;5;domingo;octubre;2019;78548;46;M0T 8B3;Amoxicillin Trihydrate;6;926;13;s/0.16
