X;dia;residencia;origen;nombre;nombre_producto;nombre_ven;edad;apellido;categoria_PRODUCTO;mes;precio_producto;año;cantidad_minima_prod
Shepherd;lunes;Belize;Zittau;Amaya;Flovent HFA;Rahim;20;Cohen;2;agosto;0.31;2019;28
Dean;jueves;Martinique;San Leucio del Sannio;Darrel;Lorazepam;Petra;80;Ortiz;5;septiembre;0.75;2019;20
Morrison;domingo;France;Saint-Marc;Martin;Lorazepam;Guinevere;58;Rodriguez;9;octubre;0.24;2019;4
Waters;lunes;Israel;Bloomington;Anthony;Clonazepam;Xaviera;32;Sampson;2;octubre;0.75;2019;27
Chang;lunes;Belgium;Altavilla Irpina;Dominique;Bystolic;Desirae;43;Anthony;2;agosto;0.75;2019;9
Conway;martes;Ukraine;Macon;Gareth;Lorazepam;Hall;74;Quinn;2;septiembre;0.8;2019;17
Peters;miercoles;Faroe Islands;Villarrica;Nathaniel;Hydrochlorothiazide;Cheryl;65;Phelps;9;agosto;0.41;2019;8
Webster;domingo;New Zealand;Otranto;Doris;Lipitor;Axel;73;Schwartz;1;octubre;0.19;2019;24
Camacho;viernes;Vanuatu;Dongelberg;Azalia;Fluoxetine HCl;Fredericka;55;Carrillo;7;octubre;0.67;2019;10
Weiss;viernes;Kazakhstan;Siegendorf;Akeem;Lorazepam;Orli;74;Gardner;10;septiembre;1;2019;17
Schmidt;sabado ;Libya;Lower Hutt;Imelda;Metformin HCl;Shannon;24;Kramer;8;agosto;0.21;2019;24
Cox;lunes;Cambodia;Polatl?;Quincy;Lisinopril;Jolene;33;Randall;8;agosto;0.43;2019;18
England;lunes;Jamaica;Southend;Dorothy;Plavix;Felix;18;Garner;9;septiembre;0.66;2019;11
Hardy;miercoles;Indonesia;Miramichi;Jana;Lorazepam;Carlos;49;Calhoun;5;septiembre;0.77;2019;22
Delacruz;jueves;Nepal;Cheyenne;Brendan;Hydrocodone;Conan;62;Rosario;3;octubre;0.47;2019;27
Bray;viernes;Philippines;Merksplas;Felicia;Omeprazole ;Kuame;28;Guerra;9;octubre;0.84;2019;29
Nunez;sabado ;Guernsey;Pickering;Jelani;Lipitor;Vielka;42;Hester;4;octubre;0.68;2019;2
Jacobson;sabado ;Mayotte;Chetwynd;Holly;Sulfamethoxazole;Violet;32;Lamb;5;octubre;0.52;2019;30
Compton;domingo;Turkmenistan;Rhayader;Kane;Lisinopril;Jared;43;Garcia;8;octubre;0.17;2019;17
Britt;lunes;Malta;Invergordon;Bethany;Simvastatin;Sydnee;79;Dodson;7;septiembre;0.4;2019;27
Trujillo;martes;Tokelau;Chilliwack;Yeo;Alprazolam;Yetta;21;Summers;9;septiembre;0.87;2019;23
Hewitt;miercoles;Moldova;Zamo??;Reuben;Methylprednisolone;Brett;42;Perkins;10;septiembre;0.34;2019;26
Brewer;martes;Canada;Gebze;Kenyon;Amoxicillin Trihydrate;Bertha;79;Frye;3;agosto;0.64;2019;19
Stein;lunes;Martinique;Wolvertem;Steel;Oxycodone;Trevor;76;Jefferson;2;agosto;0.52;2019;8
Gallagher;sabado ;United Kingdom ;Harrogate;Venus;Hydrocodone Liquid;Hayden;27;Walton;10;octubre;0.64;2019;15
Hogan;domingo;Central African Republic;Multan;Tanek;Hydrochlorothiazide;Calista;57;Chandler;1;agosto;0.94;2019;29
Small;lunes;Palestine;Ribeirão Preto;Clio;Clindamycin HCl;Willa;77;Donaldson;8;septiembre;0.31;2019;17
Maxwell;martes;Netherlands;Moerkerke;Jeanette;Ibuprofen ;Haley;31;Robertson;7;septiembre;0.7;2019;24
Roberts;jueves;Sint Maarten;Mandi Burewala;Roanna;Lorazepam;Mariam;58;Gutierrez;2;agosto;0.48;2019;12
Vega;jueves;Mauritius;Vallentuna;Hanae;Vitamin D ;Garrison;23;Delacruz;5;agosto;0.77;2019;9
Franco;viernes;Swaziland;Andenne;Cullen;Diazepam;Ciara;19;Merrill;2;septiembre;0.77;2019;29
Johns;lunes;Åland Islands;Termes;Alec;Lorazepam;Delilah;57;Fuentes;10;octubre;0.57;2019;16
Meyers;lunes;Afghanistan;Tongerlo;Dara;Hydrocodone;Carissa;35;Hardin;4;octubre;0.85;2019;4
Hobbs;sabado ;Dominica;Zaragoza;Dai;Amoxicillin;Honorato;18;Hart;3;octubre;0.17;2019;29
Schwartz;martes;Jordan;Zwijnaarde;Freya;Lorazepam;Denton;18;Dixon;5;septiembre;0.44;2019;18
Richardson;martes;Kyrgyzstan;StrŽe;Hiram;Lisinopril;Raymond;75;Holcomb;1;octubre;0.64;2019;7
Armstrong;domingo;Israel;Bastia;Philip;Amoxicillin ;Judah;46;Peters;4;septiembre;0.63;2019;14
Nolan;lunes;Honduras;Huntsville;Cody;Albuterol;Cameron;19;Copeland;1;septiembre;0.17;2019;9
Weeks;lunes;Korea, South;Braunau am Inn;Brooke;Hydrocodone Liquid;Phoebe;59;Hunt;2;agosto;0.51;2019;2
Morris;jueves;Eritrea;Freire;Plato;Omeprazole;Justine;64;Dominguez;4;agosto;0.56;2019;4
Benjamin;domingo;Cuba;Lexington;Dahlia;Azithromycin;Iola;78;Buckley;8;septiembre;0.49;2019;5
